"PLOT","INVYR","Common.Name","DEAD","ELEV","LON","LAT"
83319,2002,"Douglas-fir",4,9410,-109.168007,33.830833
83319,2012,"Douglas-fir",12,9410,-109.168007,33.830833
83336,2001,"Douglas-fir",0,7430,-110.736655,34.28126
83336,2011,"Douglas-fir",26,7430,-110.736655,34.28126
83336,2021,"Douglas-fir",18,7430,-110.736655,34.28126
83364,2007,"Douglas-fir",6,6760,-110.73417,34.252865
83364,2017,"Douglas-fir",6,6760,-110.73417,34.252865
83438,2019,"Douglas-fir",1,6660,-111.058015,34.612122
83440,2007,"Douglas-fir",8,6210,-110.839518,34.115293
83440,2017,"Douglas-fir",9,6210,-110.839518,34.115293
83479,2009,"Douglas-fir",16,8100,-112.059719,36.22762
83479,2019,"Douglas-fir",7,8100,-112.059719,36.22762
83519,2018,"Douglas-fir",0,5910,-109.86473,33.843057
83702,2007,"Douglas-fir",3,6030,-110.565262,34.11856
83702,2017,"Douglas-fir",2,6030,-110.565262,34.11856
83753,2004,"Douglas-fir",3,6490,-110.378128,34.145669
83753,2014,"Douglas-fir",3,6490,-110.378128,34.145669
83849,2003,"Douglas-fir",8,7250,-110.678151,34.254539
83849,2013,"Douglas-fir",8,7250,-110.678151,34.254539
83913,2001,"Douglas-fir",7,7060,-110.604352,34.234076
83913,2011,"Douglas-fir",7,7060,-110.604352,34.234076
83913,2021,"Douglas-fir",1,7060,-110.604352,34.234076
83916,2010,"Douglas-fir",0,6560,-110.076971,34.025688
83916,2020,"Douglas-fir",0,6560,-110.076971,34.025688
83928,2003,"Douglas-fir",3,6510,-110.403793,34.253914
83928,2013,"Douglas-fir",1,6510,-110.403793,34.253914
83977,2005,"Douglas-fir",0,9060,-112.145227,36.396263
83977,2015,"Douglas-fir",0,9060,-112.145227,36.396263
84033,2007,"Douglas-fir",0,8330,-109.267313,36.539022
84033,2017,"Douglas-fir",1,8330,-109.267313,36.539022
84094,2005,"Douglas-fir",0,7330,-109.707501,33.661145
84094,2015,"Douglas-fir",0,7330,-109.707501,33.661145
84182,2005,"Douglas-fir",2,6530,-110.782831,34.254209
84182,2015,"Douglas-fir",2,6530,-110.782831,34.254209
84211,2005,"Douglas-fir",0,7310,-110.781099,34.383421
84211,2015,"Douglas-fir",0,7310,-110.781099,34.383421
84213,2005,"Douglas-fir",1,9630,-109.482764,33.922886
84213,2015,"Douglas-fir",3,9630,-109.482764,33.922886
84262,2010,"Douglas-fir",1,9080,-109.878611,32.665509
84262,2020,"Douglas-fir",9,9080,-109.878611,32.665509
84295,2006,"Douglas-fir",1,8790,-112.119492,36.367417
84295,2016,"Douglas-fir",2,8790,-112.119492,36.367417
84339,2001,"Douglas-fir",2,7750,-109.648685,33.753893
84339,2011,"Douglas-fir",2,7750,-109.648685,33.753893
84339,2021,"Douglas-fir",5,7750,-109.648685,33.753893
84381,2001,"Douglas-fir",2,6380,-110.688329,32.417667
84381,2011,"Douglas-fir",2,6380,-110.688329,32.417667
84381,2021,"Douglas-fir",0,6380,-110.688329,32.417667
84393,2006,"Douglas-fir",5,7090,-110.623075,34.158985
84393,2016,"Douglas-fir",4,7090,-110.623075,34.158985
84435,2008,"Douglas-fir",1,8620,-109.702503,33.977313
84435,2018,"Douglas-fir",2,8620,-109.702503,33.977313
84523,2009,"Douglas-fir",0,6720,-110.076323,34.069922
84523,2019,"Douglas-fir",0,6720,-110.076323,34.069922
84543,2003,"Douglas-fir",2,8710,-112.205937,36.392995
84543,2013,"Douglas-fir",3,8710,-112.205937,36.392995
84565,2009,"Douglas-fir",4,6370,-111.76908,34.929472
84565,2019,"Douglas-fir",4,6370,-111.76908,34.929472
84600,2002,"Douglas-fir",0,8380,-112.061467,36.454899
84600,2012,"Douglas-fir",0,8380,-112.061467,36.454899
84611,2002,"Douglas-fir",1,9950,-109.597998,33.97469
84611,2012,"Douglas-fir",1,9950,-109.597998,33.97469
84681,2005,"Douglas-fir",1,7930,-111.736531,35.445898
84681,2015,"Douglas-fir",1,7930,-111.736531,35.445898
84682,2005,"Douglas-fir",0,8120,-109.384877,33.702197
84682,2015,"Douglas-fir",1,8120,-109.384877,33.702197
84694,2007,"Douglas-fir",9,6480,-110.428506,34.222283
84694,2017,"Douglas-fir",9,6480,-110.428506,34.222283
84718,2003,"Douglas-fir",0,7390,-111.381646,34.436439
84718,2013,"Douglas-fir",0,7390,-111.381646,34.436439
84726,2005,"Douglas-fir",0,8960,-109.37728,33.883202
84726,2015,"Douglas-fir",8,8960,-109.37728,33.883202
84756,2002,"Douglas-fir",10,6300,-110.56917,34.211415
84756,2012,"Douglas-fir",9,6300,-110.56917,34.211415
84763,2007,"Douglas-fir",0,8270,-109.165119,33.879941
84763,2017,"Douglas-fir",0,8270,-109.165119,33.879941
84808,2009,"Douglas-fir",2,7120,-109.812635,34.065245
84808,2019,"Douglas-fir",3,7120,-109.812635,34.065245
84944,2002,"Douglas-fir",0,7320,-111.271901,34.478532
84944,2012,"Douglas-fir",0,7320,-111.271901,34.478532
84954,2004,"Douglas-fir",1,8820,-109.704412,33.837896
84954,2014,"Douglas-fir",1,8820,-109.704412,33.837896
84992,2009,"Douglas-fir",2,6910,-110.652227,34.23594
84992,2019,"Douglas-fir",2,6910,-110.652227,34.23594
85004,2002,"Douglas-fir",0,8500,-111.719177,35.37401
85004,2012,"Douglas-fir",1,8500,-111.719177,35.37401
85193,2004,"Douglas-fir",0,9720,-109.535493,33.973996
85193,2014,"Douglas-fir",0,9720,-109.535493,33.973996
85333,2004,"Douglas-fir",0,8600,-109.811402,33.974089
85333,2014,"Douglas-fir",0,8600,-109.811402,33.974089
85342,2010,"Douglas-fir",2,8800,-112.120163,36.459148
85342,2020,"Douglas-fir",2,8800,-112.120163,36.459148
85442,2005,"Douglas-fir",0,9390,-109.6488,33.882661
85442,2015,"Douglas-fir",0,9390,-109.6488,33.882661
85533,2010,"Douglas-fir",3,8370,-111.606093,35.33422
85533,2020,"Douglas-fir",3,8370,-111.606093,35.33422
85566,2003,"Douglas-fir",1,6500,-110.970205,34.278741
85566,2013,"Douglas-fir",2,6500,-110.970205,34.278741
85585,2001,"Douglas-fir",0,6960,-111.462669,34.418294
85585,2011,"Douglas-fir",0,6960,-111.462669,34.418294
85585,2021,"Douglas-fir",0,6960,-111.462669,34.418294
85622,2003,"Douglas-fir",3,8660,-109.427119,34.021175
85622,2013,"Douglas-fir",37,8660,-109.427119,34.021175
85709,2004,"Douglas-fir",0,8620,-109.665348,34.000347
85709,2014,"Douglas-fir",1,8620,-109.665348,34.000347
85727,2007,"Douglas-fir",2,6110,-109.908144,34.42407
85727,2017,"Douglas-fir",2,6110,-109.908144,34.42407
85737,2001,"Douglas-fir",2,8220,-109.056279,33.877509
85737,2011,"Douglas-fir",3,8220,-109.056279,33.877509
85737,2021,"Douglas-fir",1,8220,-109.056279,33.877509
85802,2001,"Douglas-fir",1,8270,-112.26009,36.396847
85802,2011,"Douglas-fir",2,8270,-112.26009,36.396847
85802,2021,"Douglas-fir",1,8270,-112.26009,36.396847
85848,2006,"Douglas-fir",0,8330,-112.258286,36.474253
85848,2016,"Douglas-fir",0,8330,-112.258286,36.474253
85912,2004,"Douglas-fir",1,7890,-112.316818,36.477096
85912,2014,"Douglas-fir",1,7890,-112.316818,36.477096
85930,2005,"Douglas-fir",4,6910,-110.946843,33.803567
85930,2015,"Douglas-fir",4,6910,-110.946843,33.803567
85962,2009,"Douglas-fir",7,8710,-112.178938,36.586697
85962,2019,"Douglas-fir",7,8710,-112.178938,36.586697
85984,2004,"Douglas-fir",0,6710,-112.344624,36.638323
85984,2014,"Douglas-fir",1,6710,-112.344624,36.638323
86037,2008,"Douglas-fir",1,8860,-112.206371,36.473181
86037,2018,"Douglas-fir",1,8860,-112.206371,36.473181
86047,2008,"Douglas-fir",0,7400,-109.83919,34.003222
86047,2018,"Douglas-fir",0,7400,-109.83919,34.003222
86056,2003,"Douglas-fir",0,9090,-109.706387,33.889143
86056,2013,"Douglas-fir",0,9090,-109.706387,33.889143
86068,2001,"Douglas-fir",0,7940,-112.11452,36.592631
86068,2011,"Douglas-fir",7,7940,-112.11452,36.592631
86068,2021,"Douglas-fir",5,7940,-112.11452,36.592631
86077,2003,"Douglas-fir",0,5460,-111.820992,34.968767
86077,2013,"Douglas-fir",0,5460,-111.820992,34.968767
86154,2003,"Douglas-fir",0,9660,-109.536899,33.932796
86154,2013,"Douglas-fir",0,9660,-109.536899,33.932796
86216,2007,"Douglas-fir",3,6790,-111.004833,34.571882
86216,2017,"Douglas-fir",6,6790,-111.004833,34.571882
86260,2003,"Douglas-fir",0,7810,-112.060868,36.414111
86260,2013,"Douglas-fir",0,7810,-112.060868,36.414111
86359,2009,"Douglas-fir",2,8400,-112.226751,36.365885
86359,2019,"Douglas-fir",1,8400,-112.226751,36.365885
86369,2003,"Douglas-fir",0,8780,-112.179933,36.546194
86369,2013,"Douglas-fir",4,8780,-112.179933,36.546194
86534,2001,"Douglas-fir",9,5680,-110.35659,34.070829
86534,2011,"Douglas-fir",8,5680,-110.35659,34.070829
86534,2021,"Douglas-fir",4,5680,-110.35659,34.070829
86549,2007,"Douglas-fir",0,7600,-109.176793,33.735139
86549,2017,"Douglas-fir",2,7600,-109.176793,33.735139
86579,2005,"Douglas-fir",0,8680,-109.641345,34.023344
86579,2015,"Douglas-fir",0,8680,-109.641345,34.023344
86654,2002,"Douglas-fir",0,6320,-110.021083,34.021811
86654,2012,"Douglas-fir",0,6320,-110.021083,34.021811
86657,2004,"Douglas-fir",1,5900,-110.686001,34.161774
86657,2014,"Douglas-fir",1,5900,-110.686001,34.161774
86756,2001,"Douglas-fir",1,6480,-110.895436,34.250458
86756,2011,"Douglas-fir",2,6480,-110.895436,34.250458
86756,2021,"Douglas-fir",1,6480,-110.895436,34.250458
86791,2003,"Douglas-fir",0,8080,-109.108455,36.358825
86791,2013,"Douglas-fir",0,8080,-109.108455,36.358825
86817,2005,"Douglas-fir",3,8070,-109.057708,36.174511
86817,2015,"Douglas-fir",6,8070,-109.057708,36.174511
86880,2004,"Douglas-fir",0,9140,-109.54143,34.105446
86880,2014,"Douglas-fir",0,9140,-109.54143,34.105446
86969,2005,"Douglas-fir",5,6940,-110.622683,34.252587
86969,2015,"Douglas-fir",4,6940,-110.622683,34.252587
86987,2006,"Douglas-fir",5,6590,-111.016929,34.351396
86987,2016,"Douglas-fir",0,6590,-111.016929,34.351396
87020,2021,"Douglas-fir",1,6120,-111.87274,34.97171
87102,2005,"Douglas-fir",7,8600,-111.876431,35.421484
87102,2015,"Douglas-fir",6,8600,-111.876431,35.421484
87161,2005,"Douglas-fir",1,9040,-109.212627,33.877815
87161,2015,"Douglas-fir",8,9040,-109.212627,33.877815
87308,2004,"Douglas-fir",0,9100,-109.213434,33.837154
87308,2009,"Douglas-fir",0,9100,-109.213434,33.837154
87308,2019,"Douglas-fir",3,9100,-109.213434,33.837154
87321,2006,"Douglas-fir",0,8630,-109.652848,33.841008
87321,2016,"Douglas-fir",0,8630,-109.652848,33.841008
87324,2004,"Douglas-fir",3,9880,-109.105582,33.966047
87324,2014,"Douglas-fir",9,9880,-109.105582,33.966047
87373,2010,"Douglas-fir",23,7150,-110.623006,34.206406
87373,2020,"Douglas-fir",3,7150,-110.623006,34.206406
87454,2009,"Douglas-fir",8,7880,-109.053522,36.266431
87454,2019,"Douglas-fir",9,7880,-109.053522,36.266431
87466,2006,"Douglas-fir",1,9290,-109.334642,33.659674
87466,2016,"Douglas-fir",5,9290,-109.334642,33.659674
87488,2007,"Douglas-fir",0,8810,-112.088598,36.395788
87488,2017,"Douglas-fir",0,8810,-112.088598,36.395788
87578,2008,"Douglas-fir",0,8240,-109.436605,33.794638
87578,2018,"Douglas-fir",2,8240,-109.436605,33.794638
87729,2001,"Douglas-fir",0,8350,-109.59436,33.797621
87729,2011,"Douglas-fir",0,8350,-109.59436,33.797621
87729,2021,"Douglas-fir",0,8350,-109.59436,33.797621
87748,2009,"Douglas-fir",0,7210,-110.943021,33.888659
87748,2019,"Douglas-fir",4,7210,-110.943021,33.888659
87811,2004,"Douglas-fir",1,8180,-109.387982,33.657974
87811,2014,"Douglas-fir",3,8180,-109.387982,33.657974
87918,2005,"Douglas-fir",0,7800,-111.053451,34.38851
87918,2015,"Douglas-fir",0,7800,-111.053451,34.38851
87924,2008,"Douglas-fir",0,9190,-109.540342,33.83907
87924,2018,"Douglas-fir",0,9190,-109.540342,33.83907
87934,2004,"Douglas-fir",1,7620,-110.668787,34.292899
87966,2003,"Douglas-fir",0,8620,-109.271027,33.969094
87966,2008,"Douglas-fir",0,8620,-109.271027,33.969094
87966,2018,"Douglas-fir",1,8620,-109.271027,33.969094
88020,2007,"Douglas-fir",0,5330,-110.028165,33.753944
88020,2017,"Douglas-fir",0,5330,-110.028165,33.753944
88031,2002,"Douglas-fir",0,6730,-111.005009,34.345781
88031,2012,"Douglas-fir",7,6730,-111.005009,34.345781
88064,2005,"Douglas-fir",0,8050,-109.224257,33.74425
88064,2015,"Douglas-fir",7,8050,-109.224257,33.74425
88300,2009,"Douglas-fir",0,8770,-109.248841,33.864848
88300,2019,"Douglas-fir",2,8770,-109.248841,33.864848
88364,2008,"Douglas-fir",1,8450,-109.441933,33.615615
88364,2018,"Douglas-fir",4,8450,-109.441933,33.615615
88367,2010,"Douglas-fir",1,7620,-110.915808,34.358867
88367,2020,"Douglas-fir",1,7620,-110.915808,34.358867
